"","month","urate","vrate"
"1",2000-12-01,3.8,4
"2",2001-01-01,4.1,4.1
"3",2001-02-01,4.1,3.7
"4",2001-03-01,4.1,3.7
"5",2001-04-01,4.2,3.6
"6",2001-05-01,4.3,3.5
"7",2001-06-01,4.4,3.3
"8",2001-07-01,4.5,3.3
"9",2001-08-01,4.8,3.2
"10",2001-09-01,5,3.2
"11",2001-10-01,5.3,2.8
"12",2001-11-01,5.5,2.8
"13",2001-12-01,5.8,2.8
"14",2002-01-01,5.8,2.8
"15",2002-02-01,5.9,2.6
"16",2002-03-01,5.8,2.8
"17",2002-04-01,6.1,2.7
"18",2002-05-01,5.9,2.7
"19",2002-06-01,5.9,2.6
"20",2002-07-01,5.9,2.7
"21",2002-08-01,5.8,2.7
"22",2002-09-01,5.7,2.6
"23",2002-10-01,5.8,2.8
"24",2002-11-01,6,2.8
"25",2002-12-01,6.1,2.4
"26",2003-01-01,6,2.9
"27",2003-02-01,6,2.7
"28",2003-03-01,6,2.4
"29",2003-04-01,6.2,2.5
"30",2003-05-01,6.2,2.5
"31",2003-06-01,6.4,2.5
"32",2003-07-01,6.3,2.5
"33",2003-08-01,6.2,2.6
"34",2003-09-01,6.1,2.5
"35",2003-10-01,6.1,2.5
"36",2003-11-01,6,2.7
"37",2003-12-01,5.8,2.6
"38",2004-01-01,5.7,2.7
"39",2004-02-01,5.6,2.8
"40",2004-03-01,5.8,2.7
"41",2004-04-01,5.6,2.8
"42",2004-05-01,5.7,2.9
"43",2004-06-01,5.6,2.7
"44",2004-07-01,5.6,3.1
"45",2004-08-01,5.4,2.9
"46",2004-09-01,5.5,3
"47",2004-10-01,5.4,3
"48",2004-11-01,5.4,2.7
"49",2004-12-01,5.4,3
"50",2005-01-01,5.2,2.9
"51",2005-02-01,5.4,3
"52",2005-03-01,5.1,3.1
"53",2005-04-01,5.1,3.2
"54",2005-05-01,5,3.1
"55",2005-06-01,5,3.2
"56",2005-07-01,4.9,3.2
"57",2005-08-01,4.9,3.2
"58",2005-09-01,5,3.3
"59",2005-10-01,4.9,3.3
"60",2005-11-01,4.9,3.5
"61",2005-12-01,4.7,3.3
"62",2006-01-01,4.7,3.3
"63",2006-02-01,4.7,3.3
"64",2006-03-01,4.6,3.4
"65",2006-04-01,4.7,3.4
"66",2006-05-01,4.5,3.4
"67",2006-06-01,4.5,3.3
"68",2006-07-01,4.6,3
"69",2006-08-01,4.6,3.4
"70",2006-09-01,4.4,3.4
"71",2006-10-01,4.3,3.4
"72",2006-11-01,4.4,3.6
"73",2006-12-01,4.4,3.5
"74",2007-01-01,4.6,3.5
"75",2007-02-01,4.4,3.4
"76",2007-03-01,4.4,3.6
"77",2007-04-01,4.4,3.4
"78",2007-05-01,4.3,3.4
"79",2007-06-01,4.5,3.6
"80",2007-07-01,4.6,3.3
"81",2007-08-01,4.6,3.4
"82",2007-09-01,4.7,3.4
"83",2007-10-01,4.7,3.2
"84",2007-11-01,4.6,3.3
"85",2007-12-01,4.9,3.2
"86",2008-01-01,4.9,3.2
"87",2008-02-01,4.8,3
"88",2008-03-01,5,3
"89",2008-04-01,5,3
"90",2008-05-01,5.4,3
"91",2008-06-01,5.6,2.8
"92",2008-07-01,5.8,2.8
"93",2008-08-01,6.3,2.8
"94",2008-09-01,6.2,2.4
"95",2008-10-01,6.7,2.6
"96",2008-11-01,7,2.4
"97",2008-12-01,7.6,2.4
"98",2009-01-01,8.2,2.1
"99",2009-02-01,8.9,2.2
"100",2009-03-01,9.4,2
"101",2009-04-01,9.6,1.8
"102",2009-05-01,10.1,1.9
"103",2009-06-01,10.3,1.9
"104",2009-07-01,10.2,1.7
"105",2009-08-01,10.5,1.8
"106",2009-09-01,10.6,2
"107",2009-10-01,10.9,1.8
"108",2009-11-01,10.8,1.9
"109",2009-12-01,10.8,1.9
"110",2010-01-01,10.6,2.1
"111",2010-02-01,10.6,2
"112",2010-03-01,10.6,2.1
"113",2010-04-01,10.6,2.3
"114",2010-05-01,10.3,2.3
"115",2010-06-01,10.1,2.1
"116",2010-07-01,10.2,2.4
"117",2010-08-01,10.3,2.4
"118",2010-09-01,10.3,2.2
"119",2010-10-01,10.3,2.4
"120",2010-11-01,10.7,2.5
"121",2010-12-01,10.2,2.3
"122",2011-01-01,9.7,2.3
"123",2011-02-01,9.5,2.4
"124",2011-03-01,9.5,2.6
"125",2011-04-01,9.6,2.4
"126",2011-05-01,9.7,2.5
"127",2011-06-01,9.7,2.6
"128",2011-07-01,9.8,2.7
"129",2011-08-01,9.7,2.5
"130",2011-09-01,9.8,2.7
"131",2011-10-01,9.5,2.7
"132",2011-11-01,9.2,2.6
"133",2011-12-01,9,2.8
"134",2012-01-01,8.8,2.7
"135",2012-02-01,8.8,2.7
